,Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL,year,month,day
5798,Hyundai Matrix 2008,405000.0,Petroleum,57000.0,Hyundai,Matrix,Cairo,2024-01-21,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/matrix/6241575,2024,1,21
5799,Chevrolet Optra 2018,420000.0,Dark red,199000.0,Chevrolet,Optra,Gharbia,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6241424,2024,1,21
5800,Jeep Liberty 2002,450000.0,Black,296000.0,Jeep,Liberty,Sheikh Zayed City,2024-01-21,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/liberty/6241572,2024,1,21
5801,Changan CS 35 2016,550000.0,Blue,120000.0,Changan,CS 35,Obour City,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/changan/cs-35/6241530,2024,1,21
5802,Renault Sandero Step Way 2017,750000.0,Blue,48700.0,Renault,Sandero Step Way,Maadi,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/sandero-step-way/6241523,2024,1,21
5803,Renault Megane 2005,280000.0,Silver,200000.0,Renault,Megane,Obour City,2024-01-21,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/megane/6241508,2024,1,21
5804,Hyundai Elantra MD 2016,800000.0,Silver,105000.0,Hyundai,Elantra MD,Giza,2024-01-21,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-MD/6241497,2024,1,21
5805,Toyota Corolla 2019,860000.0,Silver,155000.0,Toyota,Corolla,Giza,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6235604,2024,1,21
5808,Nissan Qashqai 2019,1090000.0,White,80000.0,Nissan,Qashqai,Dakahlia,2024-01-21,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/qashqai/6169502,2024,1,21
5809,Chery Envy 2017,340000.0,Dark red,237000.0,Chery,Envy,Alexandria,2024-01-21,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/chery-envy/6241397,2024,1,21
5810,Mitsubishi Pajero 2015,1650000.0,Silver,330000.0,Mitsubishi,Pajero,Sadat City,2024-01-21,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/pajero/6239883,2024,1,21
5811,Mitsubishi Lancer Crystala 1998,250000.0,Blue,400000.0,Mitsubishi,Lancer Crystala,Shibin el Kom,2024-01-21,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Crystala/6241386,2024,1,21
5812,Saipa Tiba 2014,185000.0,Gray,120000.0,Saipa,Tiba,Cairo,2024-01-21,No,Yes,Yes,No,https://eg.hatla2ee.com/en/car/saipa/Tiba/6241379,2024,1,21
5813,Speranza A113 2010,210000.0,Silver,150000.0,Speranza,A113,Damietta,2024-01-21,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/a113/6240909,2024,1,21
5814,Chevrolet Optra 2018,400000.0,Dark red,95000.0,Chevrolet,Optra,Maadi,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6241320,2024,1,21
5815,Byd F3 2022,320000.0,Red,18000.0,Byd,F3,Helwan,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6240149,2024,1,21
5816,Nissan Sunny 2020,620000.0,Silver,95000.0,Nissan,Sunny,Helwan,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6241296,2024,1,21
5818,Audi Q7 2014,2500000.0,Black,145000.0,Audi,Q7,Tagamo3 - New Cairo,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/audi/q7/6235865,2024,1,21
5820,Kia Sportage 2020,1750000.0,Silver,70000.0,Kia,Sportage,Cairo,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6241151,2024,1,21
5821,Peugeot 3008 2022,2250000.0,Black,60000.0,Peugeot,3008,Banha,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/3008/6241121,2024,1,21
5822,Chevrolet Optra 2013,460000.0,Dark grey,60000.0,Chevrolet,Optra,Sohag,2024-01-21,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6241110,2024,1,21
5823,Daewoo Nubira 1 1997,230000.0,White,100000.0,Daewoo,Nubira 1,Suez,2024-01-21,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-1/6241088,2024,1,21
5824,Geely Emgrand X7 2020,850000.0,Black,42000.0,Geely,Emgrand X7,Beni Suef,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand-x7/6241086,2024,1,21
5825,Renault Megane 2012,520000.0,Silver,260000.0,Renault,Megane,Madinaty,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/megane/6241085,2024,1,21
5826,Fiat Tipo 2019,810000.0,Gray,175000.0,Fiat,Tipo,Dakahlia,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6233843,2024,1,21
5827,Chevrolet Optra 2016,465000.0,Red,259000.0,Chevrolet,Optra,6 October,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6240993,2024,1,21
5828,Mercedes GLA 2023,4050000.0,White,4000.0,Mercedes,GLA,Tagamo3 - New Cairo,2023-12-25,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/gla/6184254,2023,12,25
5829,Mercedes C 200 2013,1600000.0,White,200000.0,Mercedes,C 200,Mit Ghamr,2024-01-21,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-200/6240960,2024,1,21
5830,Nissan Sunny 2014,380000.0,Gray,243000.0,Nissan,Sunny,El Haram,2024-01-21,Yes,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6240932,2024,1,21
5831,Hyundai Accent HCI 2019,900000.0,Silver,130000.0,Hyundai,Accent HCI,Al Shorouk,2024-01-20,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Accent-HCI/6240912,2024,1,20
5832,Mitsubishi Xpander 2022,1150000.0,Black,85000.0,Mitsubishi,Xpander,Faiyum,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Xpander/6240924,2024,1,20
