,Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL,year,month,day
0,Kia Sportage 2024,2800000.0,Dark grey,300.0,Kia,Sportage,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6258710,2024,2,16
2,Fiat Tipo 2021,1200000.0,Petroleum,131000.0,Fiat,Tipo,Kafr el-Dawwar,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6286701,2024,2,16
3,Hyundai Tucson Turbo GDI 2021,2050000.0,Black,125000.0,Hyundai,Tucson Turbo GDI,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/6286695,2024,2,16
4,BMW X1 2018,2050000.0,Gray,84000.0,BMW,X1,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/x1/6254123,2024,2,16
5,Chevrolet Optra 2021,700000.0,Blue,75000.0,Chevrolet,Optra,Obour City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286679,2024,2,16
6,Chery Arrizo 5 2021,700000.0,Silver,25000.0,Chery,Arrizo 5,Obour City,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6286673,2024,2,16
7,Kia Sportage 2022,1950000.0,Blue,33000.0,Kia,Sportage,Giza,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6262769,2024,2,16
8,Hyundai Verna 2014,400000.0,Black,238000.0,Hyundai,Verna,Faiyum,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286602,2024,2,16
9,Ford Focus 2018,870000.0,Brown,99000.0,Ford,Focus,El Haram,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/ford/focus/6286581,2024,2,16
10,Nissan Tiida 2011,575000.0,Silver,262000.0,Nissan,Tiida,Maadi,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/tiida/6286779,2024,2,16
11,Mitsubishi Lancer Puma 2014,640000.0,Silver,180000.0,Mitsubishi,Lancer Puma,Tagamo3 - New Cairo,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6286767,2024,2,16
12,Opel Grandland 2022,1900000.0,Black,98000.0,Opel,Grandland,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Grandland/6280913,2024,2,16
13,Nissan Sunny 2022,830000.0,Red,67000.0,Nissan,Sunny,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6283629,2024,2,16
14,Fiat Uno 2001,150000.0,White,180000.0,Fiat,Uno,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/uno/6286515,2024,2,16
15,Kia Spectra 2002,325000.0,Gray,253000.0,Kia,Spectra,Al Shorouk,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/kia/spectra/6286758,2024,2,16
16,Toyota Corolla 2008,650000.0,Black,199000.0,Toyota,Corolla,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286755,2024,2,16
17,Jac J3 2021,900000.0,White,240000.0,Jac,J3,6 October,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/jac/j3/6286737,2024,2,16
19,MG 5 2022,1170000.0,Black,48000.0,MG,5,Kafr el-Dawwar,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286712,2024,2,16
20,Hyundai Verna 2010,285000.0,White,175000.0,Hyundai,Verna,Alexandria,2024-02-16,No,No,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286706,2024,2,16
22,Toyota Corolla 2021,1500000.0,Black,82500.0,Toyota,Corolla,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6279740,2024,2,16
23,Nissan Sunny 2022,650000.0,White,150000.0,Nissan,Sunny,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286692,2024,2,16
24,Chevrolet Optra 2022,90000.0,Red,85000.0,Chevrolet,Optra,Giza,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286685,2024,2,16
25,Skoda Octavia A4 2003,430000.0,Black,200000.0,Skoda,Octavia A4,Alexandria,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274731,2024,2,16
26,Daewoo Nubira 2 2004,280000.0,Dark blue,198000.0,Daewoo,Nubira 2,Giza,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6274769,2024,2,16
28,Kia Sephia 2000,240000.0,Silver,250000.0,Kia,Sephia,Tagamo3 - New Cairo,2024-02-16,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/sephia/6286683,2024,2,16
29,Changan Benni 2016,300000.0,Red,37000.0,Changan,Benni,Helwan,2024-02-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/changan/benni/6286668,2024,2,16
30,Opel Astra 2020,1000000.0,Silver,96500.0,Opel,Astra,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/astra/6286677,2024,2,16
31,Chery Tiggo 3 2022,950000.0,Dark grey,70000.0,Chery,Tiggo 3,El Haram,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6286674,2024,2,16
32,Mercedes E 250 2010,1650000.0,Dark grey,145000.0,Mercedes,E 250,6 October,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-250/6286667,2024,2,16
33,Kia Forte 2010,800000.0,Mocha,100000.0,Kia,Forte,Damanhur,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/forte/6286664,2024,2,16
34,Jeep Liberty 2006,660000.0,Silver,300000.0,Jeep,Liberty,El Haram,2024-02-16,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/jeep/liberty/6274686,2024,2,16
35,Daihatsu Grand terios 2009,680000.0,Black,220000.0,Daihatsu,Grand terios,Warraq,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/daihatsu/grand-terios/6274691,2024,2,16
36,Lada 1500 2020,340000.0,Brown,63000.0,Lada,1500,Suez,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/lada/1500/6274665,2024,2,16
37,Citroën C4 Picasso 2008,550000.0,Black,170000.0,Citroën,C4 Picasso,Shibin el Kom,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/citroen/c4-picasso/6274706,2024,2,16
38,Byd F3 2020,480000.0,Dark grey,149000.0,Byd,F3,El Haram,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6286646,2024,2,16
39,Renault Logan 2019,620000.0,Brown,62000.0,Renault,Logan,Port Said,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6286650,2024,2,16
41,Kia Cerato 2011,630000.0,Silver,140000.0,Kia,Cerato,Pyramids Gardens,2024-02-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6276902,2024,2,16
42,Jeep Renegade 2017,1100000.0,White,150000.0,Jeep,Renegade,Shobra,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jeep/Renegade/6278441,2024,2,16
43,Hyundai Verna 2012,380000.0,Dark grey,300000.0,Hyundai,Verna,10th of Ramadan,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286499,2024,2,16
44,Mercedes E 200 2020,3800000.0,Black,87000.0,Mercedes,E 200,Sheikh Zayed City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-200/6225050,2024,2,16
45,MG ZS 2022,1175000.0,White,48000.0,MG,ZS,Banha,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/zs/6274538,2024,2,16
46,Mercedes C 200 2002,735000.0,White,320000.0,Mercedes,C 200,Heliopolis,2024-02-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-200/6286464,2024,2,16
47,Kia Sportage 2021,1800000.0,Black,55000.0,Kia,Sportage,Mokattam,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6286442,2024,2,16
48,Nissan Sunny 2019,650000.0,Silver,85000.0,Nissan,Sunny,Monufia,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286425,2024,2,16
49,Fiat Punto 2010,510000.0,Black,168000.0,Fiat,Punto,6 October,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/puntu/6286388,2024,2,16
50,Opel Astra 2019,1000200.0,Red,29000.0,Opel,Astra,Qena,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/astra/6286641,2024,2,16
51,Fiat 128 1999,89000.0,Blue,100000.0,Fiat,128,Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/128/6283095,2024,2,16
52,Seat Ibiza 2023,1950000.0,Black,27000.0,Seat,Ibiza,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/seat/ibiza/6286629,2024,2,16
53,Byd F3 2021,550000.0,Red,165000.0,Byd,F3,Cairo,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6286623,2024,2,16
54,Mitsubishi Lancer EX Shark 2016,780000.0,Black,157000.0,Mitsubishi,Lancer EX Shark,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6148013,2024,2,16
55,Jeep Cherokee 2010,950000.0,Bronze,165000.0,Jeep,Cherokee,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/cherokee/6194490,2024,2,16
56,Chery Tiggo 7 2021,1300000.0,Petroleum,30000.0,Chery,Tiggo 7,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/6286614,2024,2,16
57,Daewoo Nubira 2 2005,310000.0,Red,220000.0,Daewoo,Nubira 2,El Minya,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6286611,2024,2,16
58,Daewoo Lacetti 2003,380000.0,Black,176000.0,Daewoo,Lacetti,Shibin El Qanater,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/lacetti/6274631,2024,2,16
59,Zotye T600 2019,1000000.0,White,35000.0,Zotye,T600,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/zotye/T600/6274635,2024,2,16
60,Zotye 5008 2019,950000.0,White,24000.0,Zotye,5008,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/zotye/zotye-5008/6274643,2024,2,16
61,Renault Fluence 2013,495000.0,Gray,230000.0,Renault,Fluence,Giza,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/renault/fluence/6286604,2024,2,16
62,Hyundai Avante 2011,530000.0,Silver,78000.0,Hyundai,Avante,Al Shorouk,2024-02-16,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/hyundai/avante/6286593,2024,2,16
63,Suzuki Ciaz 2022,1085000.0,Brown,45000.0,Suzuki,Ciaz,Pyramids Gardens,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/suzuki/ciaz/6286601,2024,2,16
64,Chevrolet Optra 2018,550000.0,Silver,69000.0,Chevrolet,Optra,Mansoura,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286596,2024,2,16
65,Renault Kadjar 2020,1070000.0,Blue,75000.0,Renault,Kadjar,El Manial,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/Kadjar/6229344,2024,2,16
66,Chevrolet Optra 2016,520000.0,Silver,300000.0,Chevrolet,Optra,Shobra,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286586,2024,2,16
67,Toyota Corolla 1995,300000.0,White,200000.0,Toyota,Corolla,Sheikh Zayed City,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286572,2024,2,16
68,Volkswagen Golf 2011,580000.0,Silver,170000.0,Volkswagen,Golf,Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/golf/6286563,2024,2,16
69,Kia Cerato 2018,1200000.0,White,47000.0,Kia,Cerato,Dikirnis,2024-02-16,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6286560,2024,2,16
70,Speranza A620 2013,395000.0,Black,155000.0,Speranza,A620,Monufia,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/a620/6286562,2024,2,16
71,Hyundai Verna 2017,415000.0,Red,124000.0,Hyundai,Verna,Cairo,2024-02-16,No,No,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286556,2024,2,16
72,Fiat 500C 2015,800000.0,White,100000.0,Fiat,500C,Tagamo3 - New Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/500C/6280683,2024,2,16
74,Toyota Corolla 2019,1330000.0,White,87000.0,Toyota,Corolla,Red Sea,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6286538,2024,2,16
75,Mercedes C 180 2002,630000.0,Dark blue,230000.0,Mercedes,C 180,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-180/6140903,2024,2,16
76,Skoda Octavia A4 2004,445000.0,Dark blue,300000.0,Skoda,Octavia A4,Quesna,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274520,2024,2,16
77,Hyundai Elantra AD 2017,950000.0,Silver,72000.0,Hyundai,Elantra AD,Port Said,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/6274539,2024,2,16
78,Speranza A113 2010,350000.0,Silver,52000.0,Speranza,A113,Tanta,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/a113/6274586,2024,2,16
79,Kia Cerato 2008,500000.0,Silver,185000.0,Kia,Cerato,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6274521,2024,2,16
80,Renault Kadjar 2020,1290000.0,Blue,34000.0,Renault,Kadjar,Maadi,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/Kadjar/6286424,2024,2,16
81,Jeep Cherokee 2010,850000.0,Black,211000.0,Jeep,Cherokee,El Manial,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/cherokee/6286335,2024,2,16
82,MG ZS 2022,1325000.0,Black,25400.0,MG,ZS,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/zs/6286406,2024,2,16
83,Senova A1 2015,370000.0,Blue,200000.0,Senova,A1,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/senova/senova-a1/6268179,2024,2,16
84,Nissan Sunny 2002,360000.0,Gold,190000.0,Nissan,Sunny,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6273660,2024,2,16
85,Jeep Liberty 2002,440000.0,Black,290000.0,Jeep,Liberty,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/liberty/6277778,2024,2,16
86,Jac JS4 2022,1100000.0,Red,30000.0,Jac,JS4,Damietta,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jac/JS4/6282486,2024,2,16
87,Hyundai Tucson Turbo GDI 2019,1900000.0,Silver,120000.0,Hyundai,Tucson Turbo GDI,Madinaty,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/6276353,2024,2,16
88,Toyota Corolla 2019,970000.0,White,91000.0,Toyota,Corolla,Qena,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6286083,2024,2,16
89,Toyota Corolla 2018,1100000.0,White,120000.0,Toyota,Corolla,Nasr city,2024-02-16,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6286172,2024,2,16
93,Brilliance FRV Cross 2010,360000.0,Red,273000.0,Brilliance,FRV Cross,6 October,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/brilliance/frv-cross/6286535,2024,2,16
95,Renault Fluence 2013,600000.0,Black,113000.0,Renault,Fluence,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/fluence/6286523,2024,2,16
96,Peugeot 301 2014,550000.0,Dark grey,137000.0,Peugeot,301,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/301/6286475,2024,2,16
97,Brilliance X 30 2019,400000.0,White,70000.0,Brilliance,X 30,Kom Hamada,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/brilliance/x-30/6286512,2024,2,16
98,Skoda Octavia A8 2022,2200000.0,Black,30000.0,Skoda,Octavia A8,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A8/6286511,2024,2,16
99,MG 6 2022,1500000.0,White,22000.0,MG,6,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-6/6286430,2024,2,16
100,Toyota Corolla 2008,650000.0,White,200000.0,Toyota,Corolla,Quesna,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286509,2024,2,16
101,Skoda Octavia A8 2024,3900000.0,Black,7000.0,Skoda,Octavia A8,El Haram,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A8/6286503,2024,2,16
102,Peugeot 405 2007,190000.0,Dark grey,143000.0,Peugeot,405,Imbaba,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/405/6286500,2024,2,16
103,Chevrolet Optra 2009,365000.0,Blue,370000.0,Chevrolet,Optra,Luxor,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286494,2024,2,16
104,Speranza A620 2009,335000.0,Dark grey,147000.0,Speranza,A620,Sharqia,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/a620/6286491,2024,2,16
105,Chevrolet Optra 2014,515000.0,White,189000.0,Chevrolet,Optra,Mokattam,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6280590,2024,2,16
106,Mercedes 200 1985,300000.0,Green,100000.0,Mercedes,200,Mansoura,2024-02-15,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/200/6286487,2024,2,15
107,MG 5 2020,640000.0,Black,90000.0,MG,5,Dokki,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286484,2024,2,15
108,Speranza A620 2008,325000.0,Black,195000.0,Speranza,A620,Sharqia,2024-02-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/speranza/a620/6286478,2024,2,15
109,Speranza A620 2007,315000.0,Silver,142000.0,Speranza,A620,Sharqia,2024-02-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/speranza/a620/6286472,2024,2,15
110,Fiat Tipo 2021,1100000.0,Gray,49800.0,Fiat,Tipo,Tagamo3 - New Cairo,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6274497,2024,2,15
111,Peugeot 301 2016,650000.0,Brown,97000.0,Peugeot,301,Tagamo3 - New Cairo,2024-02-15,Yes,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/301/6274463,2024,2,15
112,Peugeot 301 2018,785000.0,Bronze,37000.0,Peugeot,301,Tagamo3 - New Cairo,2024-02-15,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/peugeot/301/6274439,2024,2,15
113,Mitsubishi Lancer EX Shark 2016,800000.0,Silver,185000.0,Mitsubishi,Lancer EX Shark,Cairo,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6274385,2024,2,15
114,Chevrolet Optra 2006,425000.0,White,280000.0,Chevrolet,Optra,Ismailia,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6274490,2024,2,15
115,Opel Astra 2012,725000.0,Blue,70000.0,Opel,Astra,Cairo,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/astra/6286455,2024,2,15
116,Mitsubishi Lancer 2016,800000.0,Black,140000.0,Mitsubishi,Lancer,Cairo,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/lancer/6286449,2024,2,15
117,Mitsubishi Lancer Puma 2008,530000.0,Silver,213000.0,Mitsubishi,Lancer Puma,Faiyum,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6286446,2024,2,15
118,Isuzu D max 2023,2000000.0,Dark grey,40000.0,Isuzu,D max,Mit Ghamr,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/isuzu/dmax/6286434,2024,2,15
119,MG ZS 2021,950000.0,Red,95000.0,MG,ZS,Maadi,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/zs/6286431,2024,2,15
120,Geely Emgrand X7 2019,960000.0,White,35000.0,Geely,Emgrand X7,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand-x7/6140721,2024,2,16
121,Saipa Pride 2014,270000.0,Gray,108000.0,Saipa,Pride,6 October,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/saipa/saipa-pride/6216090,2024,2,16
122,Chery Arrizo 5 2021,565000.0,White,106000.0,Chery,Arrizo 5,Suez,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6285930,2024,2,16
123,Hyundai Accent RB 2017,680000.0,Black,130000.0,Hyundai,Accent RB,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/6274574,2024,2,16
124,Mitsubishi Lancer EX Shark 2014,770000.0,Dark red,150000.0,Mitsubishi,Lancer EX Shark,Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6271838,2024,2,16
125,Nissan Sunny 2020,600000.0,Black,190000.0,Nissan,Sunny,Obour City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286080,2024,2,16
127,Chevrolet Cruze 2013,535000.0,Eggplant,170000.0,Chevrolet,Cruze,Obour City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/cruze/6286065,2024,2,16
128,Skoda Fabia 2012,330000.0,Silver,220000.0,Skoda,Fabia,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/fabia/6286059,2024,2,16
129,Kia Rio 2013,600000.0,Black,185000.0,Kia,Rio,Obour City,2024-02-16,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/kia/rio/6286050,2024,2,16
130,MG 5 2021,950000.0,Black,65000.0,MG,5,Alexandria,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286415,2024,2,15
131,Volkswagen Passat 2002,328000.0,Cyan,400000.0,Volkswagen,Passat,Cairo,2024-02-15,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6286412,2024,2,15
132,Peugeot 406 2001,295000.0,Gold,186000.0,Peugeot,406,Qalyubia,2024-02-15,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/peugeot/406/6280478,2024,2,15
133,Chery Tiggo 7 2021,1200000.0,Gray,33000.0,Chery,Tiggo 7,Alexandria,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/6280443,2024,2,15
134,Suzuki Maruti 2011,195000.0,Silver,53000.0,Suzuki,Maruti,Damietta,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/maruti/6286394,2024,2,15
135,Canghe Q35 2018,680000.0,Bronze,183000.0,Canghe,Q35,Hurghada,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/changhe/Q35/6286395,2024,2,15
136,Jac J7 2021,1050000.0,White,48000.0,Jac,J7,Alexandria,2024-02-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/jac/J7/6286398,2024,2,15
137,Mercedes C 200 2009,1150000.0,Silver,220000.0,Mercedes,C 200,Cairo,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-200/6286391,2024,2,15
139,Opel Astra 2021,1250000.0,Black,15000.0,Opel,Astra,6 October,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/astra/6274373,2024,2,15
140,Toyota Corolla 2003,550000.0,Silver,200000.0,Toyota,Corolla,Amreya,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6274358,2024,2,15
141,Nissan Sunny 2013,400000.0,Black,127000.0,Nissan,Sunny,Mohandessin,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6274377,2024,2,15
142,Changan Benni 2016,380000.0,Red,41000.0,Changan,Benni,Alexandria,2024-02-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/changan/benni/6286370,2024,2,15
143,Fiat 128 1988,56000.0,Petroleum,63000.0,Fiat,128,Mokattam,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/128/6286343,2024,2,15
144,Kia Soul 2013,800000.0,White,120000.0,Kia,Soul,Dyarb Negm,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/soul/6286329,2024,2,15
145,Kia Cerato 2014,900000.0,White,125000.0,Kia,Cerato,Alexandria,2024-02-15,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6286326,2024,2,15
146,Kia Rio 2017,520000.0,Petroleum,66000.0,Kia,Rio,Alexandria,2024-02-15,Yes,No,No,No,https://eg.hatla2ee.com/en/car/kia/rio/6286322,2024,2,15
147,Hyundai Elantra HD 2019,850000.0,Petroleum,134000.0,Hyundai,Elantra HD,6 October,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-HD/6286323,2024,2,15
